Thẻ,Loại,Cấp,Thành phần,Giống Kanji,Onyomi,Kunyomi,Nanori,Đọc Chính,Đọc,Nghĩa Chính,Nghĩa Phụ
戦略,vocab,51,"戦,略",N/A,N/A,N/A,N/A,せんりゃく,せんりゃく,Chiến Lược,
勤労感謝の日,vocab,69,"勤,労,感,謝,日",N/A,N/A,N/A,N/A,きんろうかんしゃのひ,きんろうかんしゃのひ,Kinroukanshanohi,
納税,vocab,47,"納,税",N/A,N/A,N/A,N/A,のうぜい,のうぜい,Nộp Thuế,
性欲,vocab,32,"性,欲",N/A,N/A,N/A,N/A,せいよく,せいよく,Tính Dục,
回避,vocab,35,"回,避",N/A,N/A,N/A,N/A,かいひ,かいひ,Tránh,
独り言,vocab,24,"独,言",N/A,N/A,N/A,N/A,ひとりごと,ひとりごと,Độc Thoại,
出前,vocab,8,"出,前",N/A,N/A,N/A,N/A,でまえ,でまえ,Demae,
影分身,vocab,31,"影,分,身",N/A,N/A,N/A,N/A,かげぶんしん,かげぶんしん,Kagebunshin,
松明,vocab,49,"松,明",N/A,N/A,N/A,N/A,たいまつ,たいまつ,Đuốc,Taimatsu
文部科学省,vocab,51,"文,部,科,学,省",N/A,N/A,N/A,N/A,もんぶかがくしょう,もんぶかがくしょう,Monbukagakushou,
若干,vocab,44,"若,干",N/A,N/A,N/A,N/A,じゃっかん,じゃっかん,Jakkan,
主役,vocab,38,"主,役",N/A,N/A,N/A,N/A,しゅやく,しゅやく,Vai Chính,Chủ Đạo
神話,vocab,9,"神,話",N/A,N/A,N/A,N/A,しんわ,しんわ,Thần Thoại,
見比べる,vocab,7,"見,比",N/A,N/A,N/A,N/A,みくらべる,みくらべる,Mikuraberu,
防衛,vocab,26,"防,衛",N/A,N/A,N/A,N/A,ぼうえい,ぼうえい,Phòng Vệ,
見逃す,vocab,27,"見,逃",N/A,N/A,N/A,N/A,みのがす,みのがす,Minogasu,Bỏ Qua
当て逃げ,vocab,27,"当,逃",N/A,N/A,N/A,N/A,あてにげ,あてにげ,Atenige,
当てはめる,vocab,20,当,N/A,N/A,N/A,N/A,あてはめる,あてはめる,Áp Dụng,
当てはまる,vocab,20,当,N/A,N/A,N/A,N/A,あてはまる,あてはまる,Atehamaru,
